city,neighborhood,property_type,square_meters,num_bedrooms,num_bathrooms,floor_level,year_built,heating_type,distance_to_center_km,price_eur,price_per_sq_meter,house_age
Shkoder,rural,commercial,175.0,1.0,2.0,0.0,2001.0,none,13.4,282450.0,1614.0,24.0
Vlore,central,commercial,127.0,3.0,1.0,1.0,2018.0,electric,12.8,413766.0,3258.0,7.0
Tirana,suburban,commercial,119.0,1.0,2.0,-1.0,2006.0,electric,6.4,201943.0,1697.0,19.0
Tirana,rural,commercial,58.0,5.0,1.0,1.0,1989.0,none,0.7,114840.0,1980.0,36.0
Durres,central,apartment,86.0,3.0,1.0,1.0,2000.0,central,1.7,126678.0,1473.0,25.0
Elbasan,suburban,commercial,108.0,3.0,1.0,-1.0,1993.0,central,5.0,134568.0,1246.0,32.0
Durres,rural,apartment,124.0,1.0,1.0,-1.0,1996.0,none,0.7,129208.0,1042.0,29.0
Shkoder,rural,commercial,107.0,5.0,1.0,1.0,1965.0,electric,0.7,167241.0,1563.0,60.0
Vlore,central,villa,133.0,4.0,1.0,-1.0,1966.0,none,13.8,246848.0,1856.0,59.0
Durres,central,house,197.0,5.0,2.0,1.0,1991.0,none,10.7,273239.0,1387.0,34.0
Tirana,central,apartment,175.0,2.0,1.0,1.0,1991.0,electric,5.0,296800.0,1696.0,34.0
Vlore,suburban,commercial,74.0,4.0,2.0,-1.0,2012.0,none,2.4,106412.0,1438.0,13.0
Vlore,central,villa,81.0,3.0,2.0,0.0,1984.0,none,7.9,103437.0,1277.0,41.0
Tirana,rural,house,129.0,4.0,2.0,-1.0,1992.0,none,0.6,174279.0,1351.0,33.0
Durres,rural,apartment,79.0,3.0,2.0,0.0,2014.0,electric,14.1,87848.0,1112.0,11.0
Tirana,central,house,193.0,3.0,2.0,1.0,2017.0,central,6.5,175630.0,910.0,8.0
Elbasan,central,villa,168.0,4.0,1.0,1.0,1966.0,central,6.3,232512.0,1384.0,59.0
Vlore,rural,apartment,37.0,3.0,1.0,0.0,2011.0,electric,6.2,25530.0,690.0,14.0
Fier,suburban,house,134.0,3.0,1.0,1.0,2016.0,central,1.5,172726.0,1289.0,9.0
Fier,central,commercial,198.0,2.0,2.0,0.0,2021.0,none,9.8,434214.0,2193.0,4.0
Shkoder,central,apartment,77.0,5.0,1.0,0.0,1971.0,central,11.1,92708.0,1204.0,54.0
Tirana,rural,house,58.0,5.0,1.0,1.0,1975.0,none,10.3,65772.0,1134.0,50.0
Tirana,central,villa,165.0,2.0,1.0,0.0,1975.0,central,2.5,368280.0,2232.0,50.0
Shkoder,suburban,villa,151.0,4.0,1.0,-1.0,2002.0,electric,8.9,93771.0,621.0,23.0
Shkoder,rural,apartment,74.0,1.0,1.0,-1.0,2012.0,central,8.8,87098.0,1177.0,13.0
Shkoder,central,house,135.0,1.0,2.0,1.0,1995.0,central,13.1,190350.0,1410.0,30.0
Vlore,rural,apartment,224.0,1.0,1.0,1.0,1972.0,central,6.0,158368.0,707.0,53.0
Elbasan,central,apartment,103.0,2.0,2.0,0.0,1966.0,electric,5.9,83121.0,807.0,59.0
Tirana,central,house,94.0,2.0,2.0,0.0,1995.0,central,9.5,141094.0,1501.0,30.0
Vlore,central,house,124.0,3.0,2.0,0.0,2006.0,electric,9.7,184264.0,1486.0,19.0
Shkoder,suburban,commercial,168.0,1.0,2.0,0.0,2010.0,none,7.3,299712.0,1784.0,15.0
Tirana,suburban,house,220.0,4.0,2.0,-1.0,1968.0,central,6.9,292160.0,1328.0,57.0
Vlore,rural,villa,183.0,4.0,1.0,-1.0,1991.0,electric,7.7,219783.0,1201.0,34.0
Elbasan,central,apartment,111.0,1.0,1.0,1.0,1970.0,electric,13.0,161616.0,1456.0,55.0
Vlore,central,apartment,46.0,1.0,1.0,0.0,1967.0,central,7.2,44390.0,965.0,58.0
Elbasan,suburban,villa,75.0,1.0,2.0,0.0,1992.0,none,14.1,108600.0,1448.0,33.0
Shkoder,central,house,185.0,2.0,1.0,1.0,1982.0,electric,7.8,239575.0,1295.0,43.0
Elbasan,suburban,villa,76.0,2.0,1.0,0.0,1984.0,central,14.3,90364.0,1189.0,41.0
Tirana,central,villa,182.0,2.0,2.0,0.0,2015.0,none,12.6,259896.0,1428.0,10.0
Shkoder,rural,commercial,125.0,5.0,2.0,0.0,1967.0,electric,5.8,221625.0,1773.0,58.0
Tirana,central,villa,121.0,4.0,2.0,0.0,2004.0,electric,13.0,140602.0,1162.0,21.0
Fier,central,apartment,118.0,4.0,2.0,0.0,1981.0,none,2.1,137470.0,1165.0,44.0
Durres,suburban,villa,115.0,3.0,1.0,1.0,2018.0,none,13.9,129375.0,1125.0,7.0
Elbasan,central,apartment,97.0,2.0,2.0,0.0,1963.0,central,9.7,84487.0,871.0,62.0
Durres,central,apartment,102.0,5.0,2.0,1.0,1999.0,central,1.3,148308.0,1454.0,26.0
Durres,suburban,apartment,70.0,5.0,1.0,0.0,1962.0,electric,9.8,70560.0,1008.0,63.0
Elbasan,rural,house,100.0,4.0,1.0,-1.0,1988.0,none,14.6,159400.0,1594.0,37.0
Shkoder,rural,commercial,191.0,2.0,2.0,-1.0,2000.0,none,1.5,242188.0,1268.0,25.0
Fier,suburban,apartment,82.0,3.0,1.0,-1.0,1988.0,none,8.5,74948.0,914.0,37.0
Tirana,suburban,apartment,77.0,2.0,2.0,-1.0,1993.0,electric,11.3,57288.0,744.0,32.0
Vlore,suburban,house,138.0,1.0,2.0,1.0,1993.0,none,12.2,203412.0,1474.0,32.0
Tirana,suburban,apartment,154.0,2.0,1.0,1.0,1987.0,none,6.5,86086.0,559.0,38.0
Vlore,suburban,villa,139.0,1.0,1.0,0.0,1972.0,electric,3.5,84095.0,605.0,53.0
Tirana,rural,villa,91.0,1.0,2.0,-1.0,1974.0,central,1.1,119028.0,1308.0,51.0
Elbasan,rural,commercial,243.0,3.0,2.0,1.0,2019.0,central,8.9,481383.0,1981.0,6.0
Fier,suburban,apartment,241.0,4.0,2.0,0.0,1982.0,electric,7.1,257629.0,1069.0,43.0
Vlore,central,house,132.0,2.0,1.0,0.0,2003.0,none,14.3,213312.0,1616.0,22.0
Shkoder,suburban,villa,122.0,1.0,2.0,1.0,1985.0,electric,1.4,122732.0,1006.0,40.0
Tirana,central,house,158.0,2.0,2.0,-1.0,1963.0,central,10.4,160528.0,1016.0,62.0
Tirana,suburban,house,77.0,4.0,2.0,0.0,1985.0,central,0.9,133133.0,1729.0,40.0
Vlore,suburban,villa,62.0,4.0,2.0,-1.0,1999.0,electric,3.0,38750.0,625.0,26.0
Shkoder,rural,house,102.0,5.0,2.0,-1.0,1968.0,electric,7.1,164628.0,1614.0,57.0
Shkoder,central,villa,146.0,4.0,1.0,-1.0,2014.0,central,7.1,296088.0,2028.0,11.0
Elbasan,central,house,126.0,3.0,2.0,0.0,1964.0,electric,10.4,224910.0,1785.0,61.0
Elbasan,rural,villa,208.0,1.0,2.0,-1.0,2015.0,central,13.7,235248.0,1131.0,10.0
Elbasan,rural,apartment,134.0,5.0,2.0,0.0,1991.0,electric,9.8,119126.0,889.0,34.0
Elbasan,rural,commercial,117.0,3.0,2.0,-1.0,1979.0,electric,14.3,199953.0,1709.0,46.0
Elbasan,rural,villa,167.0,2.0,1.0,0.0,2009.0,electric,13.3,195390.0,1170.0,16.0
Elbasan,central,villa,194.0,1.0,1.0,-1.0,1970.0,central,9.0,479374.0,2471.0,55.0
Fier,central,commercial,151.0,4.0,1.0,1.0,1974.0,electric,12.6,340203.0,2253.0,51.0
Shkoder,suburban,villa,139.0,1.0,2.0,-1.0,1991.0,central,9.8,103555.0,745.0,34.0
Elbasan,suburban,villa,181.0,2.0,2.0,-1.0,1987.0,central,1.6,178647.0,987.0,38.0
Shkoder,rural,house,151.0,5.0,1.0,0.0,1981.0,electric,11.2,239184.0,1584.0,44.0
Shkoder,rural,commercial,48.0,5.0,1.0,0.0,2000.0,electric,1.9,59904.0,1248.0,25.0
Durres,rural,apartment,99.0,5.0,1.0,-1.0,1976.0,central,9.1,101475.0,1025.0,49.0
Fier,suburban,villa,151.0,4.0,2.0,1.0,2018.0,central,10.7,160211.0,1061.0,7.0
Elbasan,suburban,commercial,42.0,3.0,2.0,1.0,1985.0,none,1.5,42504.0,1012.0,40.0
Tirana,suburban,house,92.0,3.0,1.0,0.0,2003.0,central,3.8,156584.0,1702.0,22.0
Vlore,suburban,apartment,112.0,1.0,1.0,1.0,1966.0,none,13.8,98896.0,883.0,59.0
Tirana,suburban,commercial,158.0,4.0,1.0,-1.0,2001.0,none,9.4,245690.0,1555.0,24.0
Fier,suburban,apartment,144.0,5.0,2.0,0.0,2016.0,none,4.1,129312.0,898.0,9.0
Vlore,suburban,apartment,198.0,5.0,2.0,-1.0,1985.0,electric,10.5,102564.0,518.0,40.0
Fier,rural,apartment,157.0,2.0,2.0,0.0,1984.0,electric,9.2,168618.0,1074.0,41.0
Shkoder,rural,villa,103.0,2.0,1.0,0.0,1969.0,central,7.8,112270.0,1090.0,56.0
Vlore,rural,villa,248.0,5.0,1.0,0.0,2018.0,none,14.7,334800.0,1350.0,7.0
Shkoder,rural,house,138.0,5.0,2.0,0.0,2004.0,electric,10.4,168084.0,1218.0,21.0
Tirana,suburban,house,192.0,4.0,1.0,1.0,1978.0,electric,5.9,218112.0,1136.0,47.0
Tirana,central,commercial,114.0,3.0,2.0,-1.0,1970.0,electric,12.1,218652.0,1918.0,55.0
Vlore,suburban,house,145.0,2.0,1.0,-1.0,1972.0,electric,13.3,248530.0,1714.0,53.0
Vlore,central,apartment,248.0,3.0,1.0,-1.0,2012.0,electric,2.3,228408.0,921.0,13.0
Elbasan,rural,apartment,129.0,4.0,1.0,0.0,1967.0,none,3.4,120099.0,931.0,58.0
Fier,suburban,villa,142.0,5.0,1.0,1.0,1999.0,none,3.6,91306.0,643.0,26.0
Elbasan,rural,apartment,118.0,3.0,2.0,-1.0,1963.0,none,10.5,96288.0,816.0,62.0
Fier,suburban,commercial,118.0,5.0,1.0,1.0,2006.0,none,9.2,162840.0,1380.0,19.0
Elbasan,rural,apartment,125.0,5.0,2.0,0.0,1990.0,central,9.5,80500.0,644.0,35.0
Shkoder,central,apartment,104.0,1.0,2.0,-1.0,1987.0,none,14.1,120848.0,1162.0,38.0
Vlore,central,commercial,73.0,3.0,2.0,1.0,1970.0,electric,11.8,187829.0,2573.0,55.0
Tirana,central,house,151.0,3.0,1.0,0.0,2002.0,none,2.4,130464.0,864.0,23.0
Fier,suburban,house,60.0,5.0,2.0,1.0,1960.0,central,5.5,69240.0,1154.0,65.0
Fier,central,commercial,148.0,4.0,2.0,-1.0,2008.0,electric,6.8,340252.0,2299.0,17.0
Tirana,suburban,villa,179.0,1.0,2.0,-1.0,2006.0,none,6.2,136577.0,763.0,19.0
Elbasan,central,apartment,107.0,5.0,1.0,0.0,2011.0,none,10.2,210148.0,1964.0,14.0
Fier,central,commercial,123.0,2.0,1.0,0.0,1997.0,none,13.4,429147.0,3489.0,28.0
Shkoder,suburban,apartment,95.0,2.0,2.0,0.0,1983.0,electric,4.9,59565.0,627.0,42.0
Vlore,suburban,villa,75.0,1.0,1.0,1.0,2013.0,electric,8.5,74775.0,997.0,12.0
Tirana,central,apartment,58.0,4.0,2.0,1.0,2019.0,central,11.9,97382.0,1679.0,6.0
Vlore,suburban,commercial,52.0,5.0,2.0,1.0,2016.0,electric,6.5,76024.0,1462.0,9.0
Fier,central,apartment,114.0,3.0,1.0,0.0,2006.0,electric,2.9,183198.0,1607.0,19.0
Fier,suburban,house,75.0,1.0,2.0,-1.0,1990.0,none,7.4,73950.0,986.0,35.0
Tirana,rural,villa,121.0,4.0,1.0,-1.0,2000.0,electric,1.3,159599.0,1319.0,25.0
Shkoder,rural,villa,97.0,3.0,1.0,1.0,2005.0,none,14.2,129107.0,1331.0,20.0
Durres,rural,villa,186.0,2.0,2.0,1.0,2009.0,none,1.6,146754.0,789.0,16.0
Tirana,rural,commercial,122.0,2.0,1.0,-1.0,1985.0,electric,6.9,169214.0,1387.0,40.0
Durres,rural,villa,55.0,3.0,1.0,-1.0,2008.0,central,8.2,56540.0,1028.0,17.0
Elbasan,central,house,81.0,1.0,2.0,1.0,2009.0,central,14.8,134217.0,1657.0,16.0
Durres,rural,commercial,34.0,2.0,2.0,1.0,1964.0,electric,2.9,43622.0,1283.0,61.0
Shkoder,rural,house,97.0,5.0,1.0,-1.0,1979.0,central,2.2,161311.0,1663.0,46.0
Elbasan,rural,apartment,66.0,3.0,1.0,0.0,2011.0,none,0.6,48576.0,736.0,14.0
Durres,rural,apartment,93.0,3.0,2.0,1.0,2000.0,none,2.8,64449.0,693.0,25.0
Elbasan,suburban,apartment,84.0,2.0,1.0,-1.0,1970.0,electric,3.5,66024.0,786.0,55.0
Durres,central,apartment,92.0,1.0,1.0,-1.0,2015.0,central,9.6,144440.0,1570.0,10.0
Shkoder,rural,house,77.0,5.0,1.0,-1.0,2013.0,central,3.7,119889.0,1557.0,12.0
Durres,rural,commercial,116.0,1.0,1.0,-1.0,1992.0,none,0.8,131660.0,1135.0,33.0
Durres,rural,commercial,99.0,4.0,1.0,0.0,2009.0,electric,12.5,177309.0,1791.0,16.0
Durres,central,villa,115.0,4.0,1.0,-1.0,1997.0,central,5.8,134550.0,1170.0,28.0
Tirana,suburban,house,177.0,2.0,1.0,1.0,1986.0,electric,5.6,169566.0,958.0,39.0
Tirana,central,apartment,72.0,2.0,2.0,0.0,1993.0,central,4.9,72000.0,1000.0,32.0
Tirana,suburban,house,70.0,2.0,2.0,-1.0,1974.0,none,14.6,90020.0,1286.0,51.0
Shkoder,rural,villa,176.0,4.0,2.0,0.0,1991.0,none,3.0,203456.0,1156.0,34.0
Elbasan,rural,villa,148.0,1.0,2.0,1.0,2020.0,electric,13.5,203500.0,1375.0,5.0
Fier,central,house,109.0,1.0,2.0,-1.0,2017.0,none,11.8,150638.0,1382.0,8.0
Durres,central,house,116.0,2.0,1.0,1.0,1980.0,central,1.6,151148.0,1303.0,45.0
Durres,suburban,house,186.0,5.0,1.0,-1.0,2005.0,none,14.8,311550.0,1675.0,20.0
Shkoder,suburban,commercial,193.0,1.0,1.0,-1.0,1964.0,electric,4.4,264410.0,1370.0,61.0
Durres,central,apartment,192.0,4.0,1.0,-1.0,1965.0,electric,1.9,173184.0,902.0,60.0
Tirana,suburban,house,74.0,3.0,2.0,-1.0,1997.0,electric,12.5,68376.0,924.0,28.0
Fier,central,house,65.0,3.0,1.0,-1.0,2021.0,central,10.7,72280.0,1112.0,4.0
Vlore,suburban,house,120.0,3.0,1.0,0.0,1981.0,central,9.4,213000.0,1775.0,44.0
Durres,central,villa,64.0,5.0,2.0,-1.0,2021.0,central,2.8,115008.0,1797.0,4.0
Tirana,central,villa,137.0,2.0,1.0,-1.0,1977.0,central,7.4,339897.0,2481.0,48.0
Vlore,central,commercial,50.0,4.0,1.0,0.0,1973.0,central,11.8,137650.0,2753.0,52.0
Fier,suburban,apartment,190.0,5.0,2.0,0.0,1969.0,none,4.9,219830.0,1157.0,56.0
Vlore,suburban,commercial,68.0,4.0,1.0,0.0,2005.0,central,5.0,127908.0,1881.0,20.0
Tirana,suburban,apartment,83.0,4.0,1.0,0.0,1972.0,central,0.5,57768.0,696.0,53.0
Elbasan,central,villa,107.0,2.0,1.0,0.0,1990.0,none,3.0,185324.0,1732.0,35.0
Elbasan,suburban,villa,194.0,3.0,1.0,0.0,1989.0,central,13.2,198268.0,1022.0,36.0
Vlore,suburban,villa,245.0,2.0,1.0,-1.0,1962.0,electric,6.9,286895.0,1171.0,63.0
Shkoder,central,commercial,141.0,5.0,2.0,-1.0,1989.0,central,14.8,441753.0,3133.0,36.0
Vlore,rural,house,186.0,5.0,2.0,1.0,1965.0,central,6.2,180420.0,970.0,60.0
Durres,central,house,81.0,5.0,2.0,-1.0,1988.0,electric,10.9,95661.0,1181.0,37.0
Durres,suburban,villa,96.0,2.0,2.0,-1.0,1967.0,electric,4.6,74112.0,772.0,58.0
Elbasan,central,house,58.0,4.0,2.0,0.0,2003.0,electric,5.8,84796.0,1462.0,22.0
Shkoder,rural,house,104.0,4.0,2.0,0.0,2004.0,electric,3.3,130208.0,1252.0,21.0
Tirana,central,commercial,185.0,1.0,1.0,-1.0,2002.0,central,5.5,342065.0,1849.0,23.0
Durres,suburban,apartment,175.0,5.0,2.0,1.0,2003.0,electric,8.4,198275.0,1133.0,22.0
Elbasan,rural,villa,65.0,4.0,2.0,0.0,1992.0,electric,14.9,71045.0,1093.0,33.0
Fier,suburban,villa,59.0,1.0,1.0,-1.0,1976.0,none,10.1,71921.0,1219.0,49.0
Elbasan,rural,commercial,71.0,4.0,1.0,-1.0,2007.0,electric,3.4,71213.0,1003.0,18.0
Durres,rural,commercial,226.0,5.0,2.0,1.0,1970.0,electric,1.2,246792.0,1092.0,55.0
Durres,central,house,126.0,3.0,1.0,1.0,1972.0,none,2.3,216468.0,1718.0,53.0
Elbasan,central,villa,159.0,5.0,2.0,0.0,2009.0,none,8.7,159795.0,1005.0,16.0
Tirana,suburban,apartment,158.0,2.0,1.0,1.0,1970.0,central,11.6,124346.0,787.0,55.0
Vlore,central,commercial,123.0,4.0,2.0,-1.0,1990.0,none,14.1,386343.0,3141.0,35.0
Durres,central,apartment,56.0,4.0,1.0,-1.0,1987.0,central,0.7,110264.0,1969.0,38.0
Elbasan,rural,apartment,164.0,2.0,1.0,1.0,2003.0,none,8.1,151372.0,923.0,22.0
Elbasan,central,villa,157.0,2.0,2.0,1.0,1965.0,none,7.3,252299.0,1607.0,60.0
Shkoder,rural,villa,143.0,3.0,2.0,1.0,2000.0,central,10.0,151008.0,1056.0,25.0
Vlore,rural,commercial,108.0,4.0,2.0,1.0,1975.0,none,8.6,187920.0,1740.0,50.0
Fier,rural,villa,190.0,4.0,2.0,0.0,1963.0,central,10.5,152190.0,801.0,62.0
Tirana,suburban,villa,140.0,3.0,2.0,1.0,1994.0,none,10.0,113540.0,811.0,31.0
Fier,suburban,villa,125.0,1.0,1.0,0.0,2019.0,electric,2.2,75625.0,605.0,6.0
Vlore,suburban,apartment,142.0,3.0,2.0,-1.0,2007.0,none,12.1,159466.0,1123.0,18.0
Vlore,rural,commercial,111.0,5.0,2.0,1.0,2015.0,central,2.3,152625.0,1375.0,10.0
Vlore,suburban,house,105.0,4.0,1.0,0.0,2018.0,none,10.6,177450.0,1690.0,7.0
Fier,suburban,apartment,153.0,2.0,1.0,1.0,1985.0,central,6.5,144738.0,946.0,40.0
Vlore,central,villa,97.0,5.0,2.0,-1.0,2021.0,central,8.0,177898.0,1834.0,4.0
Elbasan,suburban,apartment,167.0,4.0,1.0,-1.0,2016.0,electric,13.6,101035.0,605.0,9.0
Fier,suburban,villa,36.0,3.0,1.0,-1.0,1971.0,electric,13.4,45000.0,1250.0,54.0
Vlore,rural,villa,83.0,5.0,2.0,1.0,1970.0,central,12.4,117030.0,1410.0,55.0
Elbasan,rural,apartment,178.0,4.0,1.0,1.0,1996.0,none,7.9,160200.0,900.0,29.0
Shkoder,rural,commercial,73.0,1.0,1.0,0.0,1984.0,central,11.2,79935.0,1095.0,41.0
Vlore,rural,villa,169.0,1.0,2.0,-1.0,1977.0,central,7.9,166803.0,987.0,48.0
Fier,rural,commercial,74.0,2.0,2.0,1.0,1978.0,none,13.1,144892.0,1958.0,47.0
Durres,rural,house,155.0,4.0,1.0,-1.0,1982.0,none,6.3,193905.0,1251.0,43.0
Vlore,suburban,villa,116.0,1.0,1.0,-1.0,2014.0,none,14.6,167968.0,1448.0,11.0
Durres,rural,commercial,42.0,3.0,2.0,0.0,1997.0,none,14.0,75936.0,1808.0,28.0
Elbasan,rural,commercial,148.0,4.0,1.0,0.0,2013.0,central,11.3,292744.0,1978.0,12.0
Shkoder,central,house,51.0,3.0,1.0,0.0,1977.0,central,4.6,86700.0,1700.0,48.0
Tirana,suburban,commercial,147.0,3.0,1.0,0.0,1985.0,electric,2.4,208005.0,1415.0,40.0
Shkoder,suburban,commercial,90.0,1.0,2.0,-1.0,1965.0,central,12.9,155250.0,1725.0,60.0
Vlore,suburban,house,115.0,4.0,1.0,0.0,1963.0,none,2.9,149845.0,1303.0,62.0
Durres,rural,villa,95.0,5.0,1.0,0.0,2003.0,electric,12.9,100035.0,1053.0,22.0
Durres,rural,commercial,78.0,1.0,2.0,0.0,2010.0,none,7.6,100620.0,1290.0,15.0
Fier,rural,commercial,84.0,1.0,1.0,0.0,1988.0,central,6.4,128772.0,1533.0,37.0
Durres,central,commercial,79.0,4.0,1.0,-1.0,2018.0,electric,13.6,214564.0,2716.0,7.0
Fier,rural,apartment,171.0,4.0,2.0,0.0,2020.0,none,9.3,110979.0,649.0,5.0
Elbasan,central,house,170.0,3.0,2.0,-1.0,1993.0,electric,8.9,285430.0,1679.0,32.0
Tirana,suburban,apartment,71.0,4.0,2.0,1.0,1976.0,electric,8.6,71994.0,1014.0,49.0
Vlore,rural,house,121.0,3.0,2.0,-1.0,2002.0,central,5.9,144232.0,1192.0,23.0
Fier,central,villa,201.0,1.0,1.0,-1.0,2002.0,none,11.9,470139.0,2339.0,23.0
Tirana,central,villa,109.0,2.0,1.0,0.0,2012.0,electric,4.2,117175.0,1075.0,13.0
Durres,rural,commercial,78.0,5.0,2.0,1.0,1975.0,electric,14.1,124644.0,1598.0,50.0
Durres,suburban,house,55.0,1.0,2.0,1.0,1961.0,none,13.5,58795.0,1069.0,64.0
Tirana,suburban,villa,140.0,4.0,1.0,1.0,1993.0,electric,5.4,115360.0,824.0,32.0
Durres,suburban,house,86.0,5.0,2.0,1.0,2014.0,electric,11.1,114294.0,1329.0,11.0
Elbasan,central,villa,97.0,2.0,1.0,-1.0,1967.0,electric,8.8,107864.0,1112.0,58.0
Elbasan,central,apartment,119.0,2.0,2.0,1.0,1972.0,none,5.4,124950.0,1050.0,53.0
Tirana,central,villa,53.0,3.0,1.0,-1.0,2001.0,none,14.8,119568.0,2256.0,24.0
Fier,central,apartment,88.0,5.0,2.0,-1.0,1967.0,none,0.9,144320.0,1640.0,58.0
Fier,suburban,villa,169.0,3.0,2.0,-1.0,1989.0,none,4.2,234910.0,1390.0,36.0
Tirana,rural,commercial,89.0,1.0,1.0,1.0,1991.0,central,8.0,152457.0,1713.0,34.0
Fier,central,apartment,68.0,5.0,2.0,0.0,1995.0,electric,8.1,129608.0,1906.0,30.0
Fier,central,villa,103.0,1.0,1.0,0.0,2006.0,none,9.0,115772.0,1124.0,19.0
Elbasan,suburban,commercial,138.0,3.0,1.0,1.0,1989.0,electric,11.4,162012.0,1174.0,36.0
Fier,rural,apartment,138.0,5.0,1.0,0.0,1960.0,electric,9.5,78384.0,568.0,65.0
Shkoder,rural,commercial,224.0,3.0,1.0,0.0,2002.0,central,9.2,234304.0,1046.0,23.0
Vlore,suburban,house,98.0,5.0,1.0,-1.0,1998.0,none,1.3,164934.0,1683.0,27.0
Durres,suburban,house,128.0,3.0,2.0,-1.0,1976.0,none,6.0,135040.0,1055.0,49.0
Shkoder,rural,apartment,157.0,2.0,2.0,1.0,2018.0,electric,3.9,83053.0,529.0,7.0
Fier,central,villa,127.0,3.0,1.0,1.0,1979.0,none,4.3,162560.0,1280.0,46.0
Elbasan,rural,apartment,188.0,2.0,2.0,0.0,1983.0,electric,8.5,138368.0,736.0,42.0
Tirana,suburban,commercial,50.0,3.0,1.0,-1.0,2009.0,electric,3.4,62350.0,1247.0,16.0
Fier,central,villa,199.0,5.0,2.0,1.0,1981.0,central,4.8,272033.0,1367.0,44.0
Elbasan,central,house,225.0,5.0,2.0,1.0,1988.0,central,3.9,291150.0,1294.0,37.0
Vlore,suburban,villa,66.0,5.0,2.0,1.0,1981.0,central,14.3,41184.0,624.0,44.0
Fier,suburban,house,44.0,4.0,2.0,1.0,2003.0,electric,14.2,60940.0,1385.0,22.0
Tirana,suburban,villa,212.0,1.0,1.0,1.0,1968.0,none,9.3,279204.0,1317.0,57.0
Elbasan,rural,villa,80.0,5.0,1.0,1.0,1996.0,central,13.9,87120.0,1089.0,29.0
Elbasan,rural,villa,147.0,2.0,2.0,0.0,1969.0,none,11.9,160671.0,1093.0,56.0
Elbasan,central,commercial,106.0,5.0,2.0,-1.0,1995.0,central,9.1,300722.0,2837.0,30.0
Vlore,suburban,commercial,71.0,4.0,1.0,-1.0,1996.0,central,0.6,113955.0,1605.0,29.0
Fier,central,apartment,113.0,2.0,2.0,1.0,1987.0,electric,11.7,132662.0,1174.0,38.0
Vlore,central,apartment,64.0,4.0,1.0,-1.0,1987.0,central,10.7,92032.0,1438.0,38.0
Durres,central,house,56.0,2.0,1.0,-1.0,2001.0,central,9.4,97216.0,1736.0,24.0
Durres,central,commercial,134.0,3.0,1.0,-1.0,2022.0,electric,11.5,341432.0,2548.0,3.0
Fier,suburban,house,136.0,1.0,2.0,1.0,2002.0,none,7.9,154088.0,1133.0,23.0
Vlore,central,apartment,71.0,1.0,1.0,1.0,1980.0,central,10.7,64965.0,915.0,45.0
